x	y	Fx	Fy
0	0	5.9519	2.976
0.05	0	6.4064	4.6499
0.1	0	6.7217	6.5795
0.15	0	5.6953	8.4308
0.2	0	3.2882	9.7831
0.25	0	0	10.2804
0.3	0	-3.2882	9.7831
0.35	0	-5.6953	8.4308
0.4	0	-6.7217	6.5795
0.45	0	-6.4064	4.6499
0.5	0	-5.9519	2.976
0	0.025	9.2998	3.2032
0.05	0.025	10.0099	5.0049
0.1	0.025	10.5025	7.0818
0.15	0.025	8.8989	9.0745
0.2	0.025	5.1378	10.53
0.25	0.025	0	11.0653
0.3	0.025	-5.1378	10.53
0.35	0.025	-8.8989	9.0745
0.4	0.025	-10.5025	7.0818
0.45	0.025	-10.0099	5.0049
0.5	0.025	-9.2998	3.2032
0	0.05	13.159	3.3608
0.05	0.05	14.1637	5.2513
0.1	0.05	14.8608	7.4304
0.15	0.05	12.5916	9.5211
0.2	0.05	7.2699	11.0483
0.25	0.05	0	11.6099
0.3	0.05	-7.2699	11.0483
0.35	0.05	-12.5916	9.5211
0.4	0.05	-14.8608	7.4304
0.45	0.05	-14.1637	5.2513
0.5	0.05	-13.159	3.3608
0	0.075	16.8616	2.8477
0.05	0.075	18.149	4.4494
0.1	0.075	19.0422	6.2958
0.15	0.075	16.1346	8.0673
0.2	0.075	9.3154	9.3613
0.25	0.075	0	9.8372
0.3	0.075	-9.3154	9.3613
0.35	0.075	-16.1346	8.0673
0.4	0.075	-19.0422	6.2958
0.45	0.075	-18.149	4.4494
0.5	0.075	-16.8616	2.8477
0	0.1	19.5661	1.6441
0.05	0.1	21.06	2.5689
0.1	0.1	22.0965	3.6349
0.15	0.1	18.7225	4.6577
0.2	0.1	10.8096	5.4048
0.25	0.1	0	5.6795
0.3	0.1	-10.8096	5.4048
0.35	0.1	-18.7225	4.6577
0.4	0.1	-22.0965	3.6349
0.45	0.1	-21.06	2.5689
0.5	0.1	-19.5661	1.6441
0	0.125	20.5608	0
0.05	0.125	22.1306	0
0.1	0.125	23.2198	0
0.15	0.125	19.6743	0
0.2	0.125	11.3591	0
0.25	0.125	0	0
0.3	0.125	-11.3591	0
0.35	0.125	-19.6743	0
0.4	0.125	-23.2198	0
0.45	0.125	-22.1306	0
0.5	0.125	-20.5608	0
0	0.15	19.5661	-1.6441
0.05	0.15	21.06	-2.5689
0.1	0.15	22.0965	-3.6349
0.15	0.15	18.7225	-4.6577
0.2	0.15	10.8096	-5.4048
0.25	0.15	0	-5.6795
0.3	0.15	-10.8096	-5.4048
0.35	0.15	-18.7225	-4.6577
0.4	0.15	-22.0965	-3.6349
0.45	0.15	-21.06	-2.5689
0.5	0.15	-19.5661	-1.6441
0	0.175	16.8616	-2.8477
0.05	0.175	18.149	-4.4494
0.1	0.175	19.0422	-6.2958
0.15	0.175	16.1346	-8.0673
0.2	0.175	9.3154	-9.3613
0.25	0.175	0	-9.8372
0.3	0.175	-9.3154	-9.3613
0.35	0.175	-16.1346	-8.0673
0.4	0.175	-19.0422	-6.2958
0.45	0.175	-18.149	-4.4494
0.5	0.175	-16.8616	-2.8477
0	0.2	13.159	-3.3608
0.05	0.2	14.1637	-5.2513
0.1	0.2	14.8608	-7.4304
0.15	0.2	12.5916	-9.5211
0.2	0.2	7.2699	-11.0483
0.25	0.2	0	-11.6099
0.3	0.2	-7.2699	-11.0483
0.35	0.2	-12.5916	-9.5211
0.4	0.2	-14.8608	-7.4304
0.45	0.2	-14.1637	-5.2513
0.5	0.2	-13.159	-3.3608
0	0.225	9.2998	-3.2032
0.05	0.225	10.0099	-5.0049
0.1	0.225	10.5025	-7.0818
0.15	0.225	8.8989	-9.0745
0.2	0.225	5.1378	-10.53
0.25	0.225	0	-11.0653
0.3	0.225	-5.1378	-10.53
0.35	0.225	-8.8989	-9.0745
0.4	0.225	-10.5025	-7.0818
0.45	0.225	-10.0099	-5.0049
0.5	0.225	-9.2998	-3.2032
0	0.25	5.9519	-2.976
0.05	0.25	6.4064	-4.6499
0.1	0.25	6.7217	-6.5795
0.15	0.25	5.6953	-8.4308
0.2	0.25	3.2882	-9.7831
0.25	0.25	0	-10.2804
0.3	0.25	-3.2882	-9.7831
0.35	0.25	-5.6953	-8.4308
0.4	0.25	-6.7217	-6.5795
0.45	0.25	-6.4064	-4.6499
0.5	0.25	-5.9519	-2.976
