x	y	Fx	Fy
0.15	0.1	-5	10
0.15	0.075	-5	7
0.15	0.05	-3	6
0.15	0.025	-4	5
0.15	0	-5	0
0.15	-0.025	-5	0
0.15	-0.05	-5	0
0.15	-0.075	-5	0
0.15	-0.1	-5	0
0.15	-0.125	-5	0
0.15	-0.15	-5	0
0.15	-0.175	-4	-5
0.15	-0.2	-3	-6
0.15	-0.225	-2	-7
0.15	-0.25	-5	-10
0.2	0.1	-5	10
0.2	0.075	-5	7
0.2	0.05	-3	6
0.2	0.025	-4	5
0.2	0	-5	0
0.2	-0.025	-5	0
0.2	-0.05	-5	0
0.2	-0.075	-5	0
0.2	-0.1	-5	0
0.2	-0.125	-5	0
0.2	-0.15	-5	0
0.2	-0.175	-4	-5
0.2	-0.2	-3	-6
0.2	-0.225	-2	-7
0.2	-0.25	-5	-10
0.25	0.1	0	10
0.25	0.075	0	10
0.25	0.05	0	10
0.25	0.025	0	10
0.25	0	0	0
0.25	-0.025	0	0
0.25	-0.05	0	0
0.25	-0.075	0	0
0.25	-0.1	0	0
0.25	-0.125	0	0
0.25	-0.15	0	0
0.25	-0.175	0	-10
0.25	-0.2	0	-10
0.25	-0.225	0	-10
0.25	-0.25	0	-10
0.3	0.1	0	10
0.3	0.075	0	10
0.3	0.05	0	10
0.3	0.025	0	10
0.3	0	0	0
0.3	-0.025	0	0
0.3	-0.05	0	0
0.3	-0.075	0	0
0.3	-0.1	0	0
0.3	-0.125	0	0
0.3	-0.15	0	0
0.3	-0.175	0	-10
0.3	-0.2	0	-10
0.3	-0.225	0	-10
0.3	-0.25	0	-10
0.35	0.1	5	10
0.35	0.075	2	7
0.35	0.05	3	6
0.35	0.025	4	5
0.35	0	5	0
0.35	-0.025	5	0
0.35	-0.05	5	0
0.35	-0.075	5	0
0.35	-0.1	5	0
0.35	-0.125	5	0
0.35	-0.15	5	0
0.35	-0.175	4	-5
0.35	-0.2	3	-6
0.35	-0.225	2	-7
0.35	-0.25	5	-10
0.4	0.1	5	10
0.4	0.075	2	7
0.4	0.05	3	6
0.4	0.025	4	5
0.4	0	5	0
0.4	-0.025	5	0
0.4	-0.05	5	0
0.4	-0.075	5	0
0.4	-0.1	5	0
0.4	-0.125	5	0
0.4	-0.15	5	0
0.4	-0.175	4	-5
0.4	-0.2	3	-6
0.4	-0.225	2	-7
0.4	-0.25	5	-10
